Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
57,"Few people realize how complicated a building project can be ... Architecture, unlike interior design or construction, is a licensed ... http://www.aiapgh.org/hiring.html Process of Working with a Residential Architect - David Elfring ... ... architect will be able to assist you in making selections, but many clients hire an interior designer.",m,0,1,0,0
58,We should be grateful it did not kill or maim him as he was later the architect of the RAF''s victory in the Battle of Britain!,d,0,0,0,1
59,"In the same way that an architect develops a set of plans for a building that guide the construction of that building, so projects need to develop a plan or ''information architecture'' that identifies the elements (content, metadata, learning resources etc) to be included; how those elements fit together in a system (systems specification); the process flow by which they become digital objects that are managed, stored and delivered, perhaps in a variety of formats and on a variety of media (information flow); and the standards that might be used.",u,0,0,1,0
60,The detail design of the hospital was entirely evolved through discussions between architect and contractor.,u,0,0,1,0
61,"A practising architect, he has taught at Auckland University, Princeton University and the Cooper Union.",m,0,1,0,0
62,""" In other words can the employer complain to his architect, if the architect has not warned him about the machinery of the Construction Act?",u,0,0,1,0
63,"Waymarker : ""A bell in its tower"" 05: Eastgate Clock Chester''s most famous clock was designed by the acclaimed local architect John Douglas to commemorate Queen Victoria''s Diamond Jubilee of 1897 - but not actually erected until 1899.",m,0,1,0,0
64,The house was built in 1776 for the Duke of Manchester but the steep roof and the porte cochere with which the architect Thomas Ambler refaced it gives it the appearance of an hotel de ville.,m,0,1,0,0
65,Simon compared it to an architect drawing out the plan that was in their head.,u,0,0,1,0
66,The architect was T .H.,u,0,0,1,0
67,My working experiences as a teenager were in the offices of the eminent architect Tristan Edwards and this stimulated my interest in the urban and industrial environs of Merthyr and the adjoining valleys.,m,0,1,0,0
68,"The infirmary was designed by Henry Saxon Snell who was the architect of a number of London workhouse and hospital buildings at this period, including ones for Holborn , St Marylebone , St George''s Hanover Square and St Luke''s . His proposed design for St Olave is shown below.",m,0,1,0,0
69,""" Another architect, Julian Hakes, lives and runs his practice, Hakes Associates, in a loft in the Jam Factory, once the HQ of Hartley''s.",m,0,1,0,0
70,"From what I saw mid-construction and from what I know of Tom and Claire (who''s also an architect), the finished product will be beautiful.",f,1,0,0,0
71,"But this did not prevent him becoming chief architect of the ""pre-emptive cull"" policy, under which some nine million healthy animals were slaughtered (illegally - since the 1981 Animal Health Act gave the Government no powers to kill animals unless they had been directly exposed to infection).",m,0,1,0,0
72,"In 1834 Edwin Chadwick , the Benthamite architect of the new Act, aimed to contain the rising cost of the every increasing numbers maintained under the old laws.",m,0,1,0,0
73,"We see architecture as something that emerges from a collaborative process, which may (but doesn''t have to) involve people with the word ""architect"" in their job title.",u,0,0,1,0
74,""" An architect and builder from the next State had lately ventured to set up a small business in this unpromising village, and his sign had now been hanging out a week.",m,0,1,0,0
75,"Matcham never qualified as an architect and was snubbed by many in his profession, but he became the supreme example of his craft.",m,0,1,0,0
