Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
106,"Kithurst builders are a local family owned and managed business in the village of Storrington, West Sussex. www.kithurstbuilders.co.uk Builders Equipment Purchase powertools, diamond blades, generators and pumps on-line using secure trading ... In addition to the above specialised lines Builders Equipment also stocks in excess of 30,000 building related items ... www.buildersequipmentshop.co.uk Builders Register - When choosing a Builder you should always look for an Approved Contractor- www.buildersregister...",u,0,0,1,0
107,""" This is not subdivided, so that ,instead of type you get the actual occupations - farmer, housekeeper; labourer, gardener, Gentleman, carpenter, ""taylor"", smith, mantua maker, ""poor"" (in which poignant category are 8 persons, all widows), stagemaster, captain in the Navy, baker, attorney, carrier, dealer, wheelwright, bricklayer, Army agent, builder , shoemaker, merchant, postman (not our kind of postman) and shopkeeper.",u,0,0,1,0
108,"Challenging images: Mrs Mary Ross of Rochester, nineteenth-century businesswoman and warship builder [ Full article ] Abstract Women in the nineteenth-century maritime world have had uneven coverage in published literature and tend to fall into two categories; the weeping wife on shore or the brave heroine challenging the world of men at sea.",f,1,0,0,0
109,"Harry was a boat builder and world champion rower, taking the title from the Thames boatmen for the first time.",m,0,1,0,0
110,"I read that the eights were built by a boat builder in Newport who''d never built racing shells before, but the boats looked a bit aged, so who knows!",u,0,0,1,0
111,"Thames Waterman''s Cutters (TWC) are the work of traditional boat builder Mark Edwards from Richmond on behalf of the Great River Race, with encouragement from the Sports Council (now Sport England).",m,0,1,0,0
112,"Recommendations from family and friends can be useful, but you still need to check that the builder they used is suitable for the type of work you have planned.",u,0,0,1,0
113,I am concerned that your builder is ''making a mountain out of a molehill''.,u,0,0,1,0
114,(Source: www.science.uva.nl) Traffic builder Mail that directs the recipient to a store to purchase goods (Source: IDM) Trailer record A special record which summarises pertinent data about a group of records.,d,0,0,0,1
115,"But the real events of that night are still the subject of speculation, with reports that builder Frank Thorogood confessed on his death bed in 1983 to murdering Jones.",m,0,1,0,0
116,"That aside, if the roof covering is sound, whether asbestos or not, I would not expect the builder to recommend work.",u,0,0,1,0
117,"Your liability insurance also provides cover for any injury which a third party receives if it if your fault, for instance if you were a builder and left a tool on the ground which a third party then tripped over and injured themselves then you would usually make a claim on your public liability insurance.",u,0,0,1,0
118,"An older brother, Mr. James Heath, builder, of Leek, purchsed the cottage in which the poet was born, and restored it in memory of his brother.",m,0,1,0,0
119,A boat builder pursuing a different strategy is Central Craftworks Ltd www.centralcraftworks.co.uk who produce quality bespoke narrowboats and wide beam Dutch barges.,u,0,0,1,0
120,"This was built by ""Father"" Henry Willis who was probably the most famous British organ builder and designed and installed many of the most important 19th century organs in this country, including numerous cathedral organs and that in the Royal Albert Hall.",m,0,1,0,0
121,"If the builder does not have his own company, he should sign the contract personally.",m,0,1,0,0
122,Ask the boat builder or dealer for details of the deposit and stage payments required.,u,0,0,1,0
123,"Following this, we are now in the requirement engineering stages on how to develop an e-book builder that supports the creation of books containing the various activities.",d,0,0,0,1
124,"The builder was Richard Ashby, who occupied a large detached house on the south side of the road.",m,0,1,0,0
125,"The contacts made as a result of this were far-reaching: that other great Flemish organ-building family, the Langhedulls, are implicated in the story, and personally I have a romantic notion that Titelouze was responsible for introducing the young French builder Valerin de HÈman to Crespin Carlier''s daughter Elizabeth.",m,0,1,0,0
126,"What now follows is a transcription of the original contract between the Kilmarnock Gas Light Company, and Robert Galt. a builder in Kilmarnock, for the erection of the gas works.",u,0,0,1,0
127,"Hi all, I thought you folks would be interested in a new site I stumbled across today at www.sportone.com, has areas for loads of sports, but also for coaching, training, olympics, injury management, fund raising & sponsorship etc. They''re giving away loads cool free stuff too, like sports club website builder (best I''ve ever come across) free email, directory entries etc (you can list yourself as an instructor free).",d,0,0,0,1
128,"Simply present them with a LEGO TIE Fighter . An impressive but utterly achievable kit, the TIE Fighter comes with step-by-step, piece-by-piece instructions which means that initial construction takes up to half an hour, depending on skill of the builder.",d,0,0,0,1
129,"The responsibilities of those people allocated tasks may be summarised as: Designer''s responsibilities are to: Provide a safe design for the finished product Design out foreseeable risks by combating risks at source Provide information at the design stage to inform those who will be carrying out the work Co-operate with others (e.g. Planning supervisor, project manager and Producer) Provide adequate information for the safe use of the finished project (e.g. instructions and maintenance arrangements) Project Manager''s (i.e. the principal builder / Producer / Director) responsibilities are to: Co-ordinate the various activities in the makeover Check the competence of those involved Provide supervision of those inexperienced (e.g. members of the public, artists) Monitor the work to ensure that the methods agreed are followed Provide regular briefings to those involved in the makeover Where a project is under the control and management of a community group, the Producer should take reasonable steps to establish the competence of the organisation to ensure the project will be completed safely.",u,0,0,1,0
130,"The update fixes a number of little bugs and adds some feature enhancements to the open source suite, which includes a word processor, spreadsheet, presentation builder and a database - all for free.",d,0,0,0,1
131,"The builder won''t design it,"" he says.",u,0,0,1,0
132,"Conversely in the latter days of the British Empire, imperial historians like Sir William Tarn saw him as a visionary idealist, a benevolent empire builder in their own mould, pursuing the dream of uniting humankind under one rule, irrespective of race, creed or colour.",d,0,0,0,1
133,"When you find your preferred term, click on the arrow button next to that term to insert it into the Full search form or the Search builder.",d,0,0,0,1
