Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
156,""" When I was a theological student, one professor said: ""God does not call you to be successful, God calls you to be faithful.",u,0,0,1,0
157,"Sir George, who was a son of Mr Charles Hayter, formerly a well-known painter and professor of perspective to her Royal Highness the Princess (Charlotte) of Wales, was born in London in the year 1792, and more than 50 years ago was appointed painter of miniatures to that Princess and to her husband Prince Leopold, afterwards King of the Belgians.",m,0,1,0,0
158,"The ban on a Muslim scholar 28-08-2004 Tariq Ramadan, a professor at the College of Geneva and the University of Fribourg in Switzerland, is the author of a book that is perhaps the most hopeful work of Muslim theology in the past thousand years.",m,0,1,0,0
159,"Following the success of the first Masterclass led by Professor Protti last year, we are pleased to confirm that the professor will conduct our inaugural September event.",u,0,0,1,0
160,"Frank Furedi is professor of sociology at the University of Kent, and author of Where Have All the Intellectuals Gone?: Confronting Twenty-First Century Philistinism (buy this book from Amazon (UK) or Amazon (USA) ).",m,0,1,0,0
161,Du Sautoy is a also a mathematician - a professor of mathematics at Oxford - but his agenda clearly differs from Derbyshire''s.,m,0,1,0,0
162,"The greatest limiting factor comes down to basic economics, argues Ivan Turok, professor of urban economic development at Glasgow University''s centre for urban studies.",m,0,1,0,0
163,"Someone had mentioned that it was professor Zarnecki''s birthday that weekend, and so we were all lead on a rousing chorus of Happy Birthday!",u,0,0,1,0
164,"Brunsma, an assistant professor of Sociology at the University of Missouri.",u,0,0,1,0
165,"In conversation with a colleague and friend, Bob Davis at the University of Glasgow, I was recently reminded of Jonathan Swift''s ''writing machine'' as he sketches it in Book 4 of Gulliver''s Travels : The first professor I saw was in a very large room, with forty pupils about him.",u,0,0,1,0
166,"Written by journalist Ray Moynihan, physician Iona Heath, and professor of clinical pharmacology, David Henry. it began with the statement ''a lot of money can be made from healthy people who believe they are sick.",m,0,1,0,0
167,"Allan Meltzer joins advisory board of Central Banking Allan Meltzer, who wrote a damning report for the US Congress on the reform of the IMF and World Bank, has joined the advisory board of Central Banking journal . Meltzer is a professor of economics at Carnegie Mellon University.",m,0,1,0,0
168,Customer Reviews of Investment Science Customer Rating: Review Summary: Good book to understand quantitative finance Review: Luenberger was a professor of optimization and his books on that subject are also very good.,m,0,1,0,0
169,"The first professor was Sir Anthony Panizzi, later Principal Librarian at the British Museum and virtual creator of the British Library.",m,0,1,0,0
170,"John Tomaney, professor of regional governance at Newcastle University''s Centre for Urban and Regional Development Studies and a close watcher of the devolution debate, says: ''I think the powers that have been given to potential regional assemblies are not the result of some rational view of what they need in order to be successful.",m,0,1,0,0
171,"It was wicked, that is what it was--just blasphemous presumption, and no more becoming to a meek and humble professor of--"" ""But, Mary, you know how we have been trained all our lives long, like the whole village, till it is absolutely second nature to us to stop not a single moment to think when there''s an honest thing to be done--"" ""Oh, I know it, I know it--it''s been one everlasting training and training and training in honesty--honesty shielded, from the very cradle, against every possible temptation, and so it''s ARTIFICIAL honesty, and weak as water when temptation comes,",u,0,0,1,0
172,"''A debate on the options for food poverty policy is definitely needed'', says Tim Lang, professor of food policy at Thames Valley University, in his introduction to the report.",m,0,1,0,0
173,"detention centre in Lanarkshire (right) "" Fighting Racism: United we can stop the BNP THE BNP were beaten in a council by-election in Walker, Newcastle, last week Letters "" Letters Growth of the Stop the War Coalition | Firefighters'' pay dispute | Early years education | Teachers'' workload agreement | India''s hidden history of unity | Forcing Blair into asylum | Goodbye Lenin | Goodbye Lenin | Back to the bad old days Reviews "" Round-up: Tales of resistance to racism and war ""BBC PROGRAMMES are revoltingly coarse,"" said a Cambridge professor reviewing the BBC''s modern retelling of Chaucer''s Canterbury Tales "" Interview with Donna Franceschild, writer of TV''s The Key It''s not often you get a TV drama which champions workers'' struggles Industrial/reports "" Council workers MANUAL WORKERS in the GMB union working for Manchester city Council struck for a day on Monday against the imposition of the Single Status agreement "" Bus workers: Bus strikes on-and other ones behind THE WAVE of strikes by bus workers over pay and conditions continues to sweep across Britain "" Nursery nurses NURSERY NURSES in Scotland plan two",u,0,0,1,0
174,Professor of Sensory Pharmacology RESEARCH FOCUS Sensory nerves are crucial in homeostasis because they provide the central nervous system with vital information about the organism''s internal and external environments.,u,0,0,1,0
175,"At EMC-4, professor Zarnecki gave one of my favourite talks about Huygens and Titan and the whole Cassini mission.",u,0,0,1,0
176,"PGN] The April 9 _New York Review of Books_ has published a long special supplement, ""The Fall of TWA 800: The Possibility of Electromagnetic Interference,"" by Elaine Scarry, a noted author and Harvard professor: http://jya.com/twa800-emi.htm (128K with 3 images) The article closely examines the possibility of electromagnetic interference in TWA 800''s controls, comm, and black boxes by activities of the ten US military planes and ships in the vicinity which were heavily equipped for electronic warfare and were conducting tests of the gear.",f,1,0,0,0
177,An advantage of being in Brussels was that he could join the circle of young scientists who gathered round Quetelet . It was through Quetelet ''s influence that Plateau was offered the position of extraordinary professor of physics at the University of Ghent in 1835.,m,0,1,0,0
178,"It was considered to be a hoax until it was recently scrutinized by the eminent epigrapher Barry Fell, professor of biology at Harvard University.",m,0,1,0,0
179,"In the 1930''s Lionel Robbins, then professor at the London School of Economics, caused a stir by ""denying interpersonal comparisons"".",m,0,1,0,0
180,"Developed by a Belgian University professor, Willem Van Cotthem, at the University of Ghent to aid reforestation in arid regions of Africa, the product is known as TerraCottem.",m,0,1,0,0
181,"The committee is chaired by Dr William Crist, professor of Economics at California State University and former chairman of the activist US pension fund CalPERS.",m,0,1,0,0
